Transaction Date,Post Date,Description,Category,Type,Amount,Memo
12/12/2022,12/13/2022,H-E-B #029,Groceries,Sale,-107.22,
12/13/2022,12/13/2022,DD DOORDASH FIREHOUSE,Food & Drink,Sale,-27.81,
12/12/2022,12/12/2022,DD DOORDASH SUBWAY,Food & Drink,Sale,-16.03,
12/11/2022,12/12/2022,MOCKINGBIRD SALOON,Food & Drink,Sale,-15.76,
12/09/2022,12/11/2022,DD DOORDASH SUBWAY,Food & Drink,Sale,-16.03,
12/09/2022,12/11/2022,EXXONMOBIL    48128896,Gas,Sale,-11.32,
12/10/2022,12/11/2022,TST* DEEP EDDY CABARET,Food & Drink,Sale,-11.66,
12/10/2022,12/11/2022,DD DOORDASH TORCHYSTA,Food & Drink,Sale,-23.49,
12/10/2022,12/11/2022,TST* BEEZ KNEEZ,Food & Drink,Sale,-7.00,
12/07/2022,12/09/2022,FIREHOUSE SUBS 0431 QSR,Food & Drink,Sale,-19.28,
12/07/2022,12/07/2022,Payment Thank You-Mobile,,Payment,650.06,
12/05/2022,12/06/2022,DD DOORDASH CHEBAHUT,Food & Drink,Sale,-30.11,
12/04/2022,12/06/2022,CIRCLE K #2741396,Gas,Sale,-44.56,
12/04/2022,12/06/2022,CIRCLE K #2741396,Gas,Sale,-15.87,
12/04/2022,12/05/2022,H-E-B  #269,Groceries,Sale,-115.17,
12/04/2022,12/05/2022,TST* MAYFAIR,Food & Drink,Sale,-18.26,
12/03/2022,12/05/2022,EXXONMOBIL    48030522,Gas,Sale,-41.29,
12/04/2022,12/05/2022,TST* MAYFAIR,Food & Drink,Sale,-9.13,
12/01/2022,12/04/2022,JERSEY MIKES 15003,Food & Drink,Sale,-21.92,
12/04/2022,12/04/2022,DD DOORDASH FIREHOUSE,Food & Drink,Sale,-43.28,
12/02/2022,12/02/2022,CHEWY.COM,Shopping,Sale,-90.91,
11/29/2022,12/01/2022,COA PARKS &amp; REC,Travel,Sale,-28.00,
11/30/2022,12/01/2022,VETSOURCE,Personal,Sale,-25.78,
11/28/2022,11/30/2022,7-ELEVEN 34251,Gas,Sale,-21.40,
11/29/2022,11/30/2022,7-ELEVEN 34251,Gas,Sale,-2.09,
11/26/2022,11/27/2022,H-E-B  #269,Groceries,Sale,-100.97,
11/26/2022,11/27/2022,JIMMY JOHNS - 2604,Food & Drink,Sale,-9.18,
11/26/2022,11/27/2022,DD DOORDASH MADAMMAMS,Food & Drink,Sale,-32.14,
11/25/2022,11/25/2022,Payment Thank You-Mobile,,Payment,548.28,
11/23/2022,11/24/2022,JIMMY JOHNS - 1810,Food & Drink,Sale,-32.09,
11/23/2022,11/24/2022,CHEVRON 0200170,Gas,Sale,-14.92,
11/22/2022,11/24/2022,SHELL OIL 57543061501,Gas,Sale,-10.27,
11/21/2022,11/24/2022,EXXONMOBIL    48121529,Gas,Sale,-40.22,
11/20/2022,11/22/2022,7-ELEVEN 36610,Gas,Sale,-3.45,
11/20/2022,11/22/2022,APPLE STORE  #R216,Shopping,Sale,-8.65,
11/21/2022,11/21/2022,Payment Thank You-Mobile,,Payment,160.45,
11/20/2022,11/21/2022,H-E-B  #096,Groceries,Sale,-134.55,
11/20/2022,11/21/2022,SP TECOVAS,Shopping,Sale,-286.86,
11/20/2022,11/21/2022,EINSTEIN BROS BAGELS1908,Food & Drink,Sale,-17.27,
11/18/2022,11/20/2022,7-ELEVEN 38104,Gas,Sale,-10.83,
11/18/2022,11/20/2022,PETSMART # 0193,Shopping,Sale,-86.56,
11/19/2022,11/20/2022,P. TERRYS STAND #9,Food & Drink,Sale,-15.37,
11/18/2022,11/20/2022,DD DOORDASH POTBELLYS,Food & Drink,Sale,-23.45,
11/18/2022,11/20/2022,DD DOORDASH JERSEYMIK,Food & Drink,Sale,-27.22,
11/19/2022,11/20/2022,DD DOORDASH TORCHYSTA,Food & Drink,Sale,-21.32,
11/17/2022,11/18/2022,DD DOORDASH FIREHOUSE,Food & Drink,Sale,-24.99,
11/17/2022,11/18/2022,7-ELEVEN 34251,Gas,Sale,-21.74,
11/16/2022,11/16/2022,Payment Thank You-Mobile,,Payment,358.50,
11/14/2022,11/16/2022,SP VUORI CLOTHING,Shopping,Return,75.36,
11/15/2022,11/16/2022,NI CAFE,Food & Drink,Sale,-4.33,
11/15/2022,11/15/2022,HUCKBERRY INC,Shopping,Sale,-268.46,
11/14/2022,11/15/2022,DD DOORDASH FIREHOUSE,Food & Drink,Sale,-25.99,
11/14/2022,11/14/2022,Payment Thank You-Mobile,,Payment,662.00,
11/12/2022,11/14/2022,1883 SDX AUS  20453403,Food & Drink,Sale,-35.48,
11/13/2022,11/14/2022,TST* MEAN EYED CAT,Food & Drink,Sale,-28.57,
11/12/2022,11/13/2022,SQ *MID SOUTH-V,Groceries,Sale,-20.52,
11/11/2022,11/13/2022,DD DOORDASH POTBELLYS,Food & Drink,Sale,-21.97,
11/09/2022,11/11/2022,TST* Cabo Bobs Burritos,Food & Drink,Sale,-17.20,
11/10/2022,11/11/2022,H-E-B  #096,Groceries,Sale,-133.53,
11/10/2022,11/11/2022,TEXACO 0376654,Gas,Sale,-9.94,
11/09/2022,11/10/2022,NI CAFE,Food & Drink,Sale,-7.51,
11/09/2022,11/10/2022,NI CAFE,Food & Drink,Sale,-2.00,
11/08/2022,11/09/2022,NI CAFE,Food & Drink,Sale,-6.21,
11/08/2022,11/08/2022,Payment Thank You-Mobile,,Payment,600.00,
11/06/2022,11/08/2022,SHELL OIL 57543321004,Gas,Sale,-53.53,
11/06/2022,11/08/2022,SHELL OIL 57543321004,Gas,Sale,-17.51,
11/08/2022,11/08/2022,DD DOORDASH FIREHOUSE,Food & Drink,Sale,-26.69,
11/05/2022,11/07/2022,BLACKHAWK GOLF CLUB,Entertainment,Sale,-72.51,
11/05/2022,11/07/2022,BLACKHAWK GOLF CLUB,Entertainment,Sale,-9.66,
11/07/2022,11/07/2022,DD DOORDASH JERSEYMIK,Food & Drink,Sale,-26.27,
11/05/2022,11/06/2022,LEVIS.COM,Shopping,Sale,-107.18,
11/04/2022,11/06/2022,FGTTWOSTEPINN,Entertainment,Sale,-267.19,
11/04/2022,11/06/2022,SP VUORI CLOTHING,Shopping,Sale,-245.54,
11/01/2022,11/03/2022,7-ELEVEN 36609,Gas,Sale,-24.12,
10/31/2022,11/02/2022,TST* Hamburger Concept,Food & Drink,Sale,-22.99,
11/01/2022,11/02/2022,TRADER JOE'S #454 QPS,Groceries,Sale,-118.59,
11/02/2022,11/02/2022,DD DOORDASH SUBWAY,Food & Drink,Sale,-17.33,
11/01/2022,11/01/2022,Payment Thank You-Mobile,,Payment,368.95,
10/31/2022,11/01/2022,SQ *URBAN MASALA-HOLLYWOO,Food & Drink,Sale,-2.14,
10/30/2022,11/01/2022,2CRYPTO.COM,Food & Drink,Sale,-31.87,
10/31/2022,10/31/2022,SQ *VAN LEEUWEN ARTISAN I,Food & Drink,Sale,-13.22,
10/30/2022,10/31/2022,TST* Zinque Century City,Food & Drink,Sale,-168.35,
10/27/2022,10/30/2022,JESTER MARKET,Groceries,Sale,-8.11,
10/29/2022,10/30/2022,BATHTUB GIN LA,Food & Drink,Sale,-33.67,
10/28/2022,10/30/2022,SQ *THE BAGELBROKER,Food & Drink,Sale,-54.21,
10/29/2022,10/30/2022,76 - NW251715 ASD2 SOC,Gas,Sale,-5.88,
10/28/2022,10/30/2022,Subway 21736,Food & Drink,Sale,-12.79,
10/27/2022,10/30/2022,AUSTIN AIRPORT-RETAIL,Food & Drink,Sale,-3.24,
10/27/2022,10/30/2022,AUST AUST ARTICLE,Shopping,Sale,-3.29,
10/28/2022,10/30/2022,EREWHON LOS ANGELES,Groceries,Sale,-7.98,
10/27/2022,10/28/2022,DD DOORDASH P.TERRYSB,Food & Drink,Sale,-16.91,
10/28/2022,10/28/2022,DD DOORDASH POPEYES,Food & Drink,Sale,-20.23,
10/26/2022,10/27/2022,NI CAFE,Food & Drink,Sale,-6.75,
10/25/2022,10/27/2022,7-ELEVEN 36621,Gas,Sale,-12.32,
10/26/2022,10/27/2022,NI CAFE,Food & Drink,Sale,-2.00,
10/27/2022,10/27/2022,Payment Thank You-Mobile,,Payment,135.30,
10/26/2022,10/26/2022,Offer:doordash,Fees & Adjustments,Adjustment,2.44,
10/26/2022,10/26/2022,DD DOORDASH TACOBELL,Food & Drink,Sale,-18.79,
10/25/2022,10/26/2022,DD DOORDASH WINGSTOP,Food & Drink,Sale,-24.63,
10/24/2022,10/25/2022,DD DOORDASH CHIPOTLE,Food & Drink,Sale,-19.54,
10/23/2022,10/24/2022,DD DOORDASH VIA313PIZ,Food & Drink,Sale,-38.49,
10/23/2022,10/23/2022,Payment Thank You-Mobile,,Payment,619.39,
10/21/2022,10/23/2022,7-ELEVEN 36563,Gas,Sale,-11.90,
10/23/2022,10/23/2022,DD DOORDASH JERSEYMIK,Food & Drink,Sale,-24.39,
10/19/2022,10/21/2022,7-ELEVEN 36621,Gas,Sale,-14.26,
10/20/2022,10/21/2022,TST* GIBSON STREET BAR,Food & Drink,Sale,-10.66,
10/20/2022,10/21/2022,TST* MEAN EYED CAT,Food & Drink,Sale,-23.56,
10/19/2022,10/20/2022,NI CAFE,Food & Drink,Sale,-8.05,
10/19/2022,10/20/2022,PETER MILLAR AUSTIN,Shopping,Sale,-212.18,
10/19/2022,10/20/2022,LEVI'S STORE 100,Shopping,Sale,-68.19,
10/20/2022,10/20/2022,SP TOMMYJOHN,Shopping,Sale,-84.01,
10/18/2022,10/19/2022,YELP-GRUBHUBFIREHOUSE,Food & Drink,Sale,-16.65,
10/17/2022,10/19/2022,EXXONMOBIL    47946819,Gas,Sale,-53.80,
10/18/2022,10/18/2022,Payment Thank You-Mobile,,Payment,86.11,
10/17/2022,10/18/2022,DD DOORDASH WHICHWICH,Food & Drink,Sale,-20.63,
10/17/2022,10/18/2022,H-E-B  #269,Groceries,Sale,-107.40,
10/17/2022,10/17/2022,Payment Thank You-Mobile,,Payment,908.14,
10/15/2022,10/17/2022,P. TERRYS STAND #14,Food & Drink,Sale,-8.82,
10/15/2022,10/17/2022,BUFORDS,Food & Drink,Sale,-11.00,
10/17/2022,10/17/2022,AUSTIN CITY-CASHLESS,Food & Drink,Sale,-12.91,
10/17/2022,10/17/2022,AUSTIN CITY-CASHLESS,Food & Drink,Sale,-15.08,
10/16/2022,10/17/2022,MCDONALD'S F27171,Food & Drink,Sale,-13.48,
10/17/2022,10/17/2022,AUSTIN CITY-CASHLESS,Food & Drink,Sale,-24.82,
10/16/2022,10/16/2022,AUSTIN CITY-CASHLESS,Food & Drink,Sale,-13.99,
10/14/2022,10/16/2022,7-ELEVEN 36621,Gas,Sale,-8.00,
10/16/2022,10/16/2022,AUSTIN CITY-CASHLESS,Food & Drink,Sale,-12.91,
10/16/2022,10/16/2022,AUSTIN CITY-CASHLESS,Food & Drink,Sale,-13.91,
10/15/2022,10/16/2022,AUSTIN CITY-CASHLESS,Food & Drink,Sale,-14.05,
10/16/2022,10/16/2022,SQ *GYRODELICIOUS,Food & Drink,Sale,-11.10,
10/16/2022,10/16/2022,AUSTIN CITY-CASHLESS,Food & Drink,Sale,-12.91,
10/16/2022,10/16/2022,AUSTIN CITY-CASHLESS,Food & Drink,Sale,-12.91,
10/11/2022,10/13/2022,7-ELEVEN 34251,Gas,Sale,-8.00,
10/12/2022,10/13/2022,NI CAFE,Food & Drink,Sale,-4.33,
10/12/2022,10/13/2022,NI CAFE,Food & Drink,Sale,-8.05,
10/11/2022,10/12/2022,PUMA.COM,Shopping,Sale,-64.07,
10/11/2022,10/12/2022,H-E-B  #096,Groceries,Sale,-100.80,
10/10/2022,10/11/2022,Payment Thank You-Mobile,,Payment,200.00,
10/09/2022,10/10/2022,SQ *STONY'S PIZZA CART,Food & Drink,Sale,-15.16,
10/09/2022,10/10/2022,CONCRETE COWBOY  AUSTIN,Food & Drink,Sale,-17.65,
10/09/2022,10/10/2022,SQ *STONY'S PIZZA CART,Food & Drink,Sale,-6.50,
10/10/2022,10/10/2022,DD DOORDASH TORCHYSTA,Food & Drink,Sale,-24.45,
10/09/2022,10/10/2022,THE RANCH - 6TH ST,Food & Drink,Sale,-9.31,
10/09/2022,10/10/2022,THE RANCH - 6TH ST,Food & Drink,Sale,-6.94,
10/09/2022,10/10/2022,THE RANCH - 6TH ST,Food & Drink,Sale,-6.94,
10/08/2022,10/09/2022,SQ *THE AUSTIN SHAKER 1,Groceries,Sale,-10.82,
10/07/2022,10/09/2022,COA PARKS &amp; REC,Travel,Sale,-14.00,
10/06/2022,10/07/2022,H-E-B  #096,Groceries,Sale,-100.95,
10/07/2022,10/07/2022,DD DOORDASH FIREHOUSE,Food & Drink,Sale,-19.90,
10/06/2022,10/07/2022,HOBOKEN PIE,Food & Drink,Sale,-29.15,
10/05/2022,10/07/2022,GRABOOST,Groceries,Sale,-15.13,
10/06/2022,10/06/2022,Payment Thank You-Mobile,,Payment,450.00,
10/05/2022,10/06/2022,NI CAFE,Food & Drink,Sale,-2.00,
10/04/2022,10/06/2022,JERSEY MIKES 15003,Food & Drink,Sale,-12.71,
10/06/2022,10/06/2022,ZACH BRYAN,Shopping,Sale,-44.00,
10/05/2022,10/06/2022,STUBB'S BAR-B-Q,Food & Drink,Sale,-21.00,
10/05/2022,10/06/2022,NI CAFE,Food & Drink,Sale,-5.67,
10/03/2022,10/05/2022,EXXONMOBIL    47951835,Gas,Sale,-52.13,
10/04/2022,10/05/2022,NI CAFE,Food & Drink,Sale,-10.06,
10/02/2022,10/04/2022,7-ELEVEN 36589,Gas,Sale,-8.00,
10/03/2022,10/04/2022,Breathe ENT,Health & Wellness,Sale,-329.13,
10/02/2022,10/04/2022,TACO BELL #030141,Food & Drink,Sale,-16.00,
10/02/2022,10/03/2022,TST* GREEN LIGHT SOCIAL,Food & Drink,Sale,-15.00,
10/02/2022,10/03/2022,UNBARLIEVABLE,Food & Drink,Sale,-14.00,
10/01/2022,10/03/2022,BUFORDS,Food & Drink,Sale,-19.17,
10/01/2022,10/03/2022,BUFORDS,Food & Drink,Sale,-11.01,
10/01/2022,10/03/2022,TST* Clive Bar,Food & Drink,Sale,-9.33,
10/01/2022,10/03/2022,1883 SDX AUS  20453403,Food & Drink,Sale,-10.83,
10/01/2022,10/02/2022,ANNUAL MEMBERSHIP FEE,Fees & Adjustments,Fee,-95.00,
10/01/2022,10/02/2022,P. TERRYS STAND #6,Food & Drink,Sale,-19.16,
09/30/2022,10/02/2022,TST* MEAN EYED CAT,Food & Drink,Sale,-50.28,
09/29/2022,10/02/2022,7-ELEVEN 34251,Gas,Sale,-8.00,
09/29/2022,09/30/2022,NI CAFE,Food & Drink,Sale,-9.73,
09/28/2022,09/29/2022,NI CAFE,Food & Drink,Sale,-8.05,
09/28/2022,09/29/2022,LEANDER DENTAL CARE,Health & Wellness,Sale,-31.80,
09/27/2022,09/28/2022,H-E-B  #096,Groceries,Sale,-194.15,
