Transaction Date,Post Date,Description,Category,Type,Amount,Memo
12/10/2023,12/11/2023,TEXACO 0377023,Gas,Sale,-9.19,
12/10/2023,12/11/2023,AMZN Mktp US*6O17H2GK3,Shopping,Sale,-71.98,
12/08/2023,12/10/2023,FIREHOUSE SUBS 0431 ECOMM,Food & Drink,Sale,-18.28,
12/08/2023,12/10/2023,TST* VALENCIAS TEX-MEX G,Food & Drink,Sale,-83.15,
12/09/2023,12/10/2023,CHEVRON 0381691,Gas,Sale,-15.13,
12/07/2023,12/10/2023,SHELL OIL 10013490007,Gas,Sale,-10.26,
12/06/2023,12/08/2023,TST* MIGHTY FINE BURGERS,Food & Drink,Sale,-28.33,
12/06/2023,12/07/2023,POSITIVEPRINTS,Shopping,Return,49.00,
12/05/2023,12/06/2023,DD DOORDASH TACOBELL,Food & Drink,Sale,-5.69,
12/06/2023,12/06/2023,REGAL CINEMAS INC,Entertainment,Sale,-40.46,
12/05/2023,12/06/2023,CHEVRON 0381691,Gas,Sale,-15.13,
12/05/2023,12/05/2023,Payment Thank You-Mobile,,Payment,220.00,
12/04/2023,12/05/2023,H-E-B  #202,Groceries,Sale,-140.82,
12/04/2023,12/05/2023,DD DOORDASH MIGHTYFIN,Food & Drink,Sale,-18.29,
12/03/2023,12/05/2023,FIREHOUSE SUBS 0431 ECOMM,Food & Drink,Sale,-18.28,
12/03/2023,12/04/2023,BAR PARTNERS GAMES,Entertainment,Sale,-8.10,
12/03/2023,12/04/2023,ZUMIEZ#206  *USA,Shopping,Sale,-91.96,
12/03/2023,12/04/2023,BAR PARTNERS GAMES,Entertainment,Sale,-8.10,
12/03/2023,12/04/2023,AMZN Mktp US*9L7E36KC3,Shopping,Sale,-55.51,
12/03/2023,12/04/2023,TST* BEEZ KNEEZ,Food & Drink,Sale,-18.00,
12/03/2023,12/04/2023,TST* THE CAT'S PAJAMAS,Food & Drink,Sale,-17.00,
12/03/2023,12/04/2023,DD DOORDASH THEORIGIN,Food & Drink,Sale,-44.40,
12/02/2023,12/04/2023,SHELL OIL 57542085402,Gas,Sale,-34.60,
12/03/2023,12/04/2023,PARLOR &amp; YARD,Food & Drink,Sale,-16.83,
12/02/2023,12/03/2023,POSITIVEPRINTS,Shopping,Sale,-49.00,
12/02/2023,12/03/2023,THE LUCKY DUCK,Food & Drink,Sale,-14.00,
12/01/2023,12/03/2023,SHELL OIL 57544800204,Gas,Sale,-3.24,
12/02/2023,12/03/2023,DD DOORDASH TORCHYSTA,Food & Drink,Sale,-28.03,
12/02/2023,12/03/2023,TST* MEAN EYED CAT,Food & Drink,Sale,-10.66,
12/02/2023,12/03/2023,POSITIVEPRINTS,Shopping,Sale,-49.00,
11/30/2023,12/01/2023,CHEVRON 0381691,Gas,Sale,-17.29,
11/30/2023,12/01/2023,VETSOURCE,Personal,Sale,-25.78,
11/30/2023,12/01/2023,CHEVRON 0381691,Gas,Sale,-99.66,
11/30/2023,11/30/2023,Payment Thank You-Mobile,,Payment,59.25,
11/29/2023,11/30/2023,H-E-B  #202,Groceries,Sale,-36.29,
11/29/2023,11/30/2023,7-ELEVEN 36592,Gas,Sale,-23.35,
11/29/2023,11/29/2023,Payment Thank You-Mobile,,Payment,224.94,
11/28/2023,11/29/2023,DD DOORDASH SUBWAY,Food & Drink,Sale,-15.96,
11/28/2023,11/29/2023,LA FITNESS,Health & Wellness,Sale,-43.29,
11/27/2023,11/28/2023,CHEVRON 0381691,Gas,Sale,-3.56,
11/27/2023,11/28/2023,H-E-B  #202,Groceries,Sale,-173.24,
11/27/2023,11/28/2023,DD DOORDASH MADAMMAMS,Food & Drink,Sale,-31.58,
11/27/2023,11/27/2023,Payment Thank You-Mobile,,Payment,351.28,
11/25/2023,11/27/2023,HOWARD LN AUSTIN,Gas,Sale,-16.56,
11/25/2023,11/26/2023,SQ *THE DRIVING RANGE ROU,Entertainment,Sale,-18.00,
11/25/2023,11/26/2023,DD DOORDASH WHATABURG,Food & Drink,Sale,-26.84,
11/24/2023,11/26/2023,TOM THUMB #1972,Groceries,Sale,-14.02,
11/25/2023,11/26/2023,DAIRY QUEEN #46078,Food & Drink,Sale,-26.59,
11/25/2023,11/26/2023,H-E-B  #224,Groceries,Sale,-21.38,
11/25/2023,11/26/2023,TIKTOK SHOP,Shopping,Sale,-132.83,
11/22/2023,11/24/2023,JERSEY MIKES 15069,Food & Drink,Sale,-15.09,
11/22/2023,11/24/2023,7-ELEVEN 36589,Gas,Sale,-2.79,
11/23/2023,11/23/2023,Payment Thank You-Mobile,,Payment,147.87,
11/22/2023,11/23/2023,DD DOORDASH POTBELLYS,Food & Drink,Sale,-22.83,
11/22/2023,11/23/2023,EXXON 7-ELEVEN 36589,Gas,Sale,-52.91,
11/22/2023,11/23/2023,COA PARKS &amp; REC,Travel,Sale,-18.00,
11/21/2023,11/22/2023,DD DOORDASH SUBWAY,Food & Drink,Sale,-16.00,
11/21/2023,11/22/2023,CHEWY.COM,Shopping,Sale,-75.21,
11/21/2023,11/21/2023,Payment Thank You-Mobile,,Payment,224.70,
11/20/2023,11/21/2023,CHEVRON 0381691,Gas,Sale,-29.82,
11/20/2023,11/21/2023,DD DOORDASH WHATABURG,Food & Drink,Sale,-26.84,
11/18/2023,11/20/2023,FIREHOUSE SUBS 0431 ECOMM,Food & Drink,Sale,-18.28,
11/19/2023,11/20/2023,TXTAG 888 468 9824,Travel,Sale,-10.00,
11/19/2023,11/19/2023,Payment Thank You-Mobile,,Payment,210.09,
11/18/2023,11/19/2023,TXTAG 888 468 9824,Travel,Sale,-10.00,
11/18/2023,11/19/2023,7-ELEVEN 35471,Gas,Sale,-16.22,
11/17/2023,11/19/2023,GLF*CRYSTALFALLSGC,Entertainment,Sale,-90.19,
11/18/2023,11/19/2023,7-ELEVEN 35471,Gas,Sale,-80.01,
11/17/2023,11/17/2023,Payment Thank You-Mobile,,Payment,38.37,
11/16/2023,11/17/2023,SQ *THE DRIVING RANGE ROU,Entertainment,Sale,-16.00,
11/16/2023,11/17/2023,GLF*GolfNowReservation,Entertainment,Sale,-2.99,
11/15/2023,11/17/2023,TST* CASA DO BRASIL - AUS,Food & Drink,Sale,-191.10,
11/15/2023,11/15/2023,Payment Thank You-Mobile,,Payment,343.52,
11/14/2023,11/15/2023,CHEVRON 0381691,Gas,Sale,-22.26,
11/13/2023,11/15/2023,FIREHOUSE SUBS 0431 ECOMM,Food & Drink,Sale,-16.11,
11/13/2023,11/14/2023,TXTAG 888 468 9824,Travel,Sale,-10.00,
11/13/2023,11/14/2023,H-E-B  #202,Groceries,Sale,-86.92,
11/13/2023,11/14/2023,P. TERRYS STAND #8,Food & Drink,Sale,-13.48,
11/13/2023,11/14/2023,CHEVRON 0381691,Gas,Sale,-3.56,
11/12/2023,11/14/2023,7-ELEVEN 32248,Gas,Sale,-8.83,
11/13/2023,11/13/2023,Payment Thank You-Mobile,,Payment,53.07,
11/12/2023,11/13/2023,DD DOORDASH CABOBOBSB,Food & Drink,Sale,-52.00,
11/11/2023,11/13/2023,DONN`S DEPOT,Food & Drink,Sale,-27.00,
11/12/2023,11/13/2023,DD DOORDASH KERBEYLAN,Food & Drink,Sale,-50.62,
11/11/2023,11/13/2023,DREAM PLANET SMOKE AND VA,Shopping,Sale,-31.11,
11/12/2023,11/13/2023,GLF*CRYSTALFALLSGC,Entertainment,Sale,-60.00,
11/09/2023,11/12/2023,FIREHOUSE SUBS 0431 ECOMM,Food & Drink,Sale,-34.38,
11/10/2023,11/12/2023,CHEVRON 0381691,Gas,Sale,-18.69,
11/11/2023,11/12/2023,Payment Thank You-Mobile,,Payment,13.56,
11/10/2023,11/10/2023,Payment Thank You-Mobile,,Payment,102.55,
11/09/2023,11/10/2023,TXTAG 888 468 9824,Travel,Sale,-10.00,
11/08/2023,11/10/2023,SHELL OIL 57542085402,Gas,Sale,-3.56,
11/09/2023,11/09/2023,Payment Thank You-Mobile,,Payment,1027.34,
11/08/2023,11/09/2023,H-E-B #029,Groceries,Sale,-16.54,
11/08/2023,11/09/2023,GLF*GolfNowReservation,Entertainment,Sale,-11.01,
11/07/2023,11/09/2023,CIRCLE K #2740966,Gas,Sale,-75.00,
11/07/2023,11/08/2023,DD DOORDASH SUBWAY,Food & Drink,Sale,-15.00,
11/06/2023,11/07/2023,H-E-B #495,Groceries,Sale,-155.33,
11/06/2023,11/07/2023,DD DOORDASH WHATABURG,Food & Drink,Sale,-17.79,
11/06/2023,11/07/2023,SQ *THE DRIVING RANGE ROU,Entertainment,Sale,-12.75,
11/03/2023,11/05/2023,FGTTWOSTEPINN,Entertainment,Sale,-25.00,
11/03/2023,11/05/2023,TikTok Shop,Shopping,Sale,-26.31,
11/02/2023,11/03/2023,VETSOURCE,Personal,Sale,-25.78,
10/31/2023,11/01/2023,SQ *THE DRIVING RANGE ROU,Entertainment,Sale,-16.00,
10/31/2023,11/01/2023,DOMINO'S 6607,Food & Drink,Sale,-40.05,
10/31/2023,11/01/2023,Dicks Sporting Goods,Shopping,Return,216.49,
10/31/2023,11/01/2023,CHEVRON 0381691,Gas,Sale,-18.37,
10/31/2023,11/01/2023,ISM  INC. DBA AIRUP,Food & Drink,Sale,-2.10,
10/29/2023,10/31/2023,7-ELEVEN 35435,Gas,Sale,-3.49,
10/30/2023,10/31/2023,IN N OUT BURGER 315,Food & Drink,Sale,-15.97,
10/29/2023,10/30/2023,EXXON CHILL &amp; FILL,Gas,Sale,-5.61,
10/29/2023,10/30/2023,TXTAG 888 468 9824,Travel,Sale,-10.00,
10/29/2023,10/30/2023,LAZY DOG RESTAURANT 17,Food & Drink,Sale,-28.64,
10/28/2023,10/30/2023,SHELL OIL 57545269409,Gas,Sale,-40.57,
10/29/2023,10/30/2023,EXXON CHILL &amp; FILL,Gas,Sale,-75.07,
10/28/2023,10/30/2023,IHOP 1468,Food & Drink,Sale,-17.76,
10/26/2023,10/29/2023,BWW IRVING 103,Food & Drink,Sale,-40.62,
10/27/2023,10/29/2023,TST* Hurtado Barbecue,Food & Drink,Sale,-38.33,
10/28/2023,10/29/2023,LD STORY,Food & Drink,Sale,-28.10,
10/28/2023,10/29/2023,LA FITNESS,Health & Wellness,Sale,-43.29,
10/27/2023,10/29/2023,HOME PLATE AT TEXAS RANGE,Food & Drink,Sale,-25.16,
10/27/2023,10/29/2023,HOME PLATE AT TEXAS RANGE,Food & Drink,Sale,-3.57,
10/26/2023,10/29/2023,7-ELEVEN 38771,Gas,Sale,-13.18,
10/26/2023,10/27/2023,H-E-B  #269,Groceries,Sale,-37.84,
10/26/2023,10/27/2023,DICK'S CLOTHING&amp;SPORTING,Shopping,Sale,-310.62,
10/25/2023,10/26/2023,TikTok Shop,Shopping,Sale,-25.45,
10/25/2023,10/26/2023,CHEVRON 0381691,Gas,Sale,-26.26,
10/25/2023,10/26/2023,Payment Thank You-Mobile,,Payment,357.57,
10/25/2023,10/26/2023,DOMINO'S 6607,Food & Drink,Sale,-25.34,
10/24/2023,10/25/2023,H-E-B  #202,Groceries,Sale,-49.30,
10/25/2023,10/25/2023,DD DOORDASH STARBUCKS,Food & Drink,Sale,-25.18,
10/23/2023,10/24/2023,DD DOORDASH WHATABURG,Food & Drink,Sale,-40.89,
10/22/2023,10/23/2023,7-ELEVEN 36609,Gas,Sale,-19.76,
10/22/2023,10/23/2023,THE LUCKY DUCK,Food & Drink,Sale,-12.00,
10/22/2023,10/23/2023,TXTAG 888 468 9824,Travel,Sale,-10.00,
10/22/2023,10/23/2023,TST* KERBEY LANE CAFE - N,Food & Drink,Sale,-42.98,
10/21/2023,10/22/2023,EXXON 7-ELEVEN 36609,Gas,Sale,-71.31,
10/20/2023,10/22/2023,PLAYITAGAINSP #10105,Shopping,Sale,-6.37,
10/21/2023,10/22/2023,4UP*TERAVISTA GC,Entertainment,Sale,-3.19,
10/21/2023,10/22/2023,4UP*TERAVISTA GC,Entertainment,Sale,-43.45,
10/21/2023,10/22/2023,4UP*TERAVISTA GC,Entertainment,Sale,-9.07,
10/20/2023,10/20/2023,Payment Thank You-Mobile,,Payment,88.67,
10/19/2023,10/20/2023,DOMINO'S 6607,Food & Drink,Sale,-16.70,
10/19/2023,10/20/2023,TXTAG 888 468 9824,Travel,Sale,-10.00,
10/19/2023,10/20/2023,GLF*GolfNowReservation,Entertainment,Sale,-19.01,
10/19/2023,10/20/2023,AMZN Mktp US*TD8AX0LG2,Shopping,Sale,-39.87,
10/18/2023,10/20/2023,7-ELEVEN 36557,Gas,Sale,-12.97,
10/19/2023,10/19/2023,Payment Thank You-Mobile,,Payment,191.44,
10/18/2023,10/19/2023,SQ *THE DRIVING RANGE ROU,Entertainment,Sale,-3.50,
10/18/2023,10/19/2023,AMZN Mktp US*TP0LY1BV1,Shopping,Sale,-69.17,
10/18/2023,10/19/2023,SQ *THE DRIVING RANGE ROU,Entertainment,Sale,-16.00,
10/18/2023,10/18/2023,Payment Thank You-Mobile,,Payment,189.97,
10/17/2023,10/18/2023,DD DOORDASH SUBWAY,Food & Drink,Sale,-15.30,
10/17/2023,10/18/2023,TARGET        00000950,Shopping,Sale,-68.78,
10/17/2023,10/18/2023,CHEWY.COM,Shopping,Sale,-107.36,
10/17/2023,10/17/2023,Payment Thank You-Mobile,,Payment,39.62,
10/15/2023,10/17/2023,SHELL OIL 12508189003,Gas,Sale,-18.69,
10/16/2023,10/17/2023,TXTAG 888 468 9824,Travel,Sale,-10.00,
10/16/2023,10/17/2023,H-E-B  #202,Groceries,Sale,-135.09,
10/16/2023,10/17/2023,DD DOORDASH VELVETTAC,Food & Drink,Sale,-26.19,
10/16/2023,10/16/2023,Payment Thank You-Mobile,,Payment,229.69,
10/15/2023,10/16/2023,GLF*CRYSTALFALLSGC,Entertainment,Sale,-59.62,
10/15/2023,10/16/2023,STARS &amp; STRIPES DRIVE IN,Entertainment,Return,20.00,
10/13/2023,10/15/2023,TST* Panchitos Olmos Park,Food & Drink,Sale,-68.28,
10/12/2023,10/15/2023,AL CARBON POLLOS ASADOS #,Food & Drink,Sale,-7.85,
10/11/2023,10/15/2023,HOTEL EMMA FOOD AND BE,Food & Drink,Sale,-41.64,
10/14/2023,10/15/2023,STARS &amp; STRIPES DRIVE IN,Entertainment,Sale,-48.80,
10/12/2023,10/13/2023,Payment Thank You-Mobile,,Payment,456.95,
10/12/2023,10/13/2023,LITTLE DEATH,Food & Drink,Sale,-57.75,
10/12/2023,10/13/2023,H-E-B  #224,Groceries,Sale,-5.37,
10/10/2023,10/11/2023,UMIYA,Food & Drink,Sale,-78.15,
10/10/2023,10/11/2023,H-E-B  #224,Groceries,Sale,-5.37,
10/08/2023,10/10/2023,ZARA USA 3951,Shopping,Sale,-9.80,
10/07/2023,10/09/2023,SHELL OIL 10000963008,Gas,Sale,-11.06,
10/08/2023,10/09/2023,SHOPS AT LACANTERA TXANF,Shopping,Sale,-11.96,
10/08/2023,10/09/2023,SQ *PJ'S COFFEE OF NEW OR,Food & Drink,Sale,-28.26,
10/07/2023,10/08/2023,DD DOORDASH SUBWAY,Food & Drink,Sale,-16.31,
10/06/2023,10/08/2023,WHATABURGER 796    Q26,Food & Drink,Sale,-14.27,
10/06/2023,10/08/2023,DD DOORDASH POPEYESLO,Food & Drink,Sale,-24.02,
10/08/2023,10/08/2023,DD DOORDASH KERBEYLAN,Food & Drink,Sale,-19.11,
10/07/2023,10/08/2023,4UP*FALCONHEAD GC,Entertainment,Sale,-3.25,
10/07/2023,10/08/2023,4UP*FALCONHEAD GC,Entertainment,Sale,-95.14,
10/05/2023,10/06/2023,P. TERRYS STAND #7,Food & Drink,Sale,-15.97,
10/04/2023,10/06/2023,CAFE Y BAKERY P20 ATO SJO,Shopping,Sale,-16.45,
10/05/2023,10/06/2023,VETSOURCE,Personal,Sale,-25.78,
10/04/2023,10/05/2023,CIRCLE K # 04675,Gas,Sale,-11.06,
10/03/2023,10/05/2023,BRITT SHOP HOTEL HILTON C,Shopping,Sale,-70.99,
10/02/2023,10/02/2023,Payment Thank You-Mobile,,Payment,247.31,
10/01/2023,10/01/2023,ANNUAL MEMBERSHIP FEE,Fees & Adjustments,Fee,-95.00,
09/30/2023,10/01/2023,STARBUCKS HACIENDA ALSACI,Entertainment,Sale,-56.43,
09/30/2023,10/01/2023,FREDDO FRESAS,Food & Drink,Sale,-16.93,
09/28/2023,09/29/2023,LA FITNESS,Health & Wellness,Sale,-43.29,
09/28/2023,09/28/2023,Payment Thank You-Mobile,,Payment,413.24,
09/26/2023,09/28/2023,AUSTIN AIRPORT-F&amp;B,Food & Drink,Sale,-14.02,
09/26/2023,09/28/2023,HOU PGA STORE,Shopping,Sale,-21.64,
09/26/2023,09/27/2023,TXTAG 888 468 9824,Travel,Sale,-10.00,
09/26/2023,09/27/2023,LEVIS.COM,Shopping,Return,75.24,
09/25/2023,09/26/2023,LEVI'S STORE 100,Shopping,Sale,-75.76,
09/24/2023,09/26/2023,SHELL OIL 12508189003,Gas,Sale,-67.98,
09/25/2023,09/26/2023,DD DOORDASH TORCHYSTA,Food & Drink,Sale,-24.78,
09/25/2023,09/26/2023,7-ELEVEN 38279,Gas,Sale,-19.01,
09/25/2023,09/25/2023,Payment Thank You-Mobile,,Payment,61.45,
09/24/2023,09/25/2023,TXTAG 888 468 9824,Travel,Sale,-10.00,
09/24/2023,09/25/2023,MANAGE INN CAHOOTS  LLC,Food & Drink,Sale,-30.78,
09/24/2023,09/25/2023,MANAGE INN CAHOOTS  LLC,Food & Drink,Sale,-12.82,
09/24/2023,09/25/2023,MANAGE INN CAHOOTS  LLC,Food & Drink,Sale,-6.41,
09/24/2023,09/25/2023,TEXACO 0377023,Gas,Sale,-30.94,
09/23/2023,09/24/2023,H-E-B  #202,Groceries,Sale,-41.30,
09/22/2023,09/24/2023,COA PARKS &amp; REC,Travel,Sale,-28.00,
09/22/2023,09/24/2023,CIRCLE K #2740080,Gas,Sale,-11.51,
09/22/2023,09/24/2023,P. TERRYS STAND #7,Food & Drink,Sale,-10.55,
09/22/2023,09/22/2023,Payment Thank You-Mobile,,Payment,48.87,
09/21/2023,09/22/2023,TARGET        00000950,Shopping,Sale,-76.16,
09/21/2023,09/22/2023,CHEVRON 0381691,Gas,Sale,-18.69,
09/21/2023,09/22/2023,LEVIS.COM,Shopping,Sale,-75.24,
09/20/2023,09/21/2023,CALVINKLEIN.COM,Shopping,Sale,-48.87,
09/20/2023,09/21/2023,Payment Thank You-Mobile,,Payment,11.39,
09/20/2023,09/20/2023,Payment Thank You-Mobile,,Payment,293.43,
09/19/2023,09/20/2023,DD DOORDASH PARDONMYC,Food & Drink,Sale,-11.39,
09/19/2023,09/19/2023,Payment Thank You-Mobile,,Payment,39.73,
09/18/2023,09/19/2023,SP BOMBAS,Shopping,Sale,-42.79,
09/17/2023,09/19/2023,SHELL OIL 12645906004,Gas,Sale,-2.70,
09/18/2023,09/19/2023,Etsy.com - ArtHeatherArt,Shopping,Sale,-31.24,
09/18/2023,09/19/2023,DD DOORDASH KERBEYLAN,Food & Drink,Sale,-30.61,
09/18/2023,09/19/2023,H-E-B  #202,Groceries,Sale,-151.46,
09/18/2023,09/19/2023,Etsy.com - MoeBeansBoutiq,Shopping,Sale,-34.63,
09/18/2023,09/18/2023,Payment Thank You-Mobile,,Payment,1114.21,
09/17/2023,09/18/2023,CHEVRON 0155648,Gas,Sale,-11.13,
09/17/2023,09/18/2023,PLAYITAGAINSP #10105,Shopping,Sale,-16.12,
09/18/2023,09/18/2023,DD DOORDASH WALGREENS,Food & Drink,Sale,-12.48,
09/17/2023,09/17/2023,DD DOORDASH WHATABURG,Food & Drink,Sale,-18.37,
09/16/2023,09/17/2023,1883 SDX AUS,Food & Drink,Sale,-8.72,
09/16/2023,09/17/2023,SQ *MID SOUTH-V,Groceries,Sale,-28.94,
09/14/2023,09/15/2023,TST* Plank Seafood - Aust,Food & Drink,Sale,-141.60,
09/14/2023,09/15/2023,7-ELEVEN 36610,Gas,Sale,-12.97,
09/13/2023,09/15/2023,FIREHOUSE SUBS 0431 ECOMM,Food & Drink,Sale,-28.55,
09/13/2023,09/14/2023,H-E-B  #218,Groceries,Sale,-5.37,
09/13/2023,09/13/2023,DD DOORDASH SUBWAY,Food & Drink,Sale,-14.57,
09/12/2023,09/13/2023,DD DOORDASH SUBWAY,Food & Drink,Sale,-26.37,
