Trans. Date,Post Date,Description,Amount,Category
03/14/2022,03/14/2022,"P. TERRYS STAND #3 AUSTIN TX01418R",8.01,"Restaurants"
03/15/2022,03/15/2022,"FIREHOUSE SUBS 0362 QSR AUSTIN TX",14.00,"Restaurants"
03/16/2022,03/16/2022,"TOMLINSONS DRIPPING SP AUSTIN TX01633R",180.15,"Merchandise"
03/19/2022,03/20/2022,"ESCARPMENT EXXON AUSTIN TX",20.56,"Gasoline"
03/20/2022,03/20/2022,"MEAN EYED CAT AUSTIN TX",46.15,"Restaurants"
03/21/2022,03/21/2022,"AUTOMATIC STATEMENT CREDIT",-18.77,"Awards and Rebate Credits"
03/21/2022,03/21/2022,"EXXONMOBIL AUSTIN TX",28.56,"Gasoline"
03/21/2022,03/21/2022,"INTERNET PAYMENT - THANK YOU",-610.63,"Payments and Credits"
03/24/2022,03/24/2022,"CHIPOTLE 3660 AUSTIN TX",14.23,"Restaurants"
03/24/2022,03/24/2022,"EXXONMOBIL AUSTIN TX",56.03,"Gasoline"
03/24/2022,03/24/2022,"MEAN EYED CAT AUSTIN TX",37.50,"Restaurants"
03/25/2022,03/25/2022,"TACO BELL #033691 LEANDER TX",12.97,"Restaurants"
03/28/2022,03/28/2022,"SQ *BEYOND THE DOG AUS GOSQ.COM TXAPPLE PAY ENDING IN 13270001152921511222663230",150.00,"Services"
03/29/2022,03/29/2022,"INTERNET PAYMENT - THANK YOU",-197.23,"Payments and Credits"
03/29/2022,03/29/2022,"INTUIT *TURBOTAX CL.INTUIT.COMCA28110G1648586270759HRJ",126.85,"Merchandise"
03/30/2022,03/30/2022,"CHEWY.COM 800-672-4399 FLAPPLE PAY ENDING IN 1327PMT-GZ4G2PR1R7",169.91,"Merchandise"
03/31/2022,03/31/2022,"VCA ANIMAL HOSPITALS 3104427264 CAAPPLE PAY ENDING IN 1327",173.13,"Services"
03/31/2022,03/31/2022,"WALGREENS #4761 AUSTIN TX",9.47,"Merchandise"
04/01/2022,04/01/2022,"RAISING CANE'S #115 CEDAR PARK TX",14.82,"Restaurants"
04/01/2022,04/01/2022,"TST* AUSTIN CIDERCADE AUSTIN TX",21.65,"Restaurants"
04/02/2022,04/02/2022,"P. TERRYS STAND #3 AUSTIN TX00244R",10.88,"Restaurants"
04/05/2022,04/05/2022,"INTERNET PAYMENT - THANK YOU",-676.71,"Payments and Credits"
04/07/2022,04/07/2022,"CHEWY.COM 800-672-4399 FLAPPLE PAY ENDING IN 1327PMT-AY7HK9S4D0",23.09,"Merchandise"
04/07/2022,04/07/2022,"SQ *BEYOND THE DOG AUS GOSQ.COM TXAPPLE PAY ENDING IN 13270002305843015440082739",150.00,"Services"
04/10/2022,04/10/2022,"EXXONMOBIL AUSTIN TX",69.53,"Gasoline"
04/11/2022,04/11/2022,"INTERNET PAYMENT - THANK YOU",-173.09,"Payments and Credits"
04/12/2022,04/12/2022,"SHELL57546016106 AUSTIN TX",20.02,"Gasoline"
04/15/2022,04/15/2022,"CHEWY.COM 800-672-4399 FLAPPLE PAY ENDING IN 1327PMT-CL5T2RW3VY",60.58,"Merchandise"
04/16/2022,04/16/2022,"INTERNET PAYMENT - THANK YOU",-89.55,"Payments and Credits"
04/16/2022,04/16/2022,"KRISPY KREME #130 AUSTIN TX01664R",8.76,"Restaurants"
04/17/2022,04/17/2022,"FIREHOUSE SUBS 0362 QSR AUSTIN TX",16.23,"Restaurants"
04/20/2022,04/20/2022,"AUTOMATIC STATEMENT CREDIT",-14.04,"Awards and Rebate Credits"
04/20/2022,04/20/2022,"ESCARPMENT EXXON AUSTIN TX",29.75,"Gasoline"
04/20/2022,04/20/2022,"FIREHOUSE SUBS 0362 QSR AUSTIN TX",17.00,"Restaurants"
04/20/2022,04/20/2022,"INTERNET PAYMENT - THANK YOU",-71.53,"Payments and Credits"
04/22/2022,04/22/2022,"P. TERRYS STAND #3 AUSTIN TX02243R",10.88,"Restaurants"
04/23/2022,04/23/2022,"CENTRAL MARKET #061 AUSTIN TX",11.36,"Supermarkets"
04/23/2022,04/23/2022,"JIMMY JOHNS - 2270 AUSTIN TX",12.32,"Restaurants"
04/24/2022,04/24/2022,"MCDONALD'S F7877 AUSTIN TX",9.07,"Restaurants"
04/24/2022,04/24/2022,"P. TERRYS STAND #3 AUSTIN TX02456R",11.75,"Restaurants"
04/24/2022,04/24/2022,"SCENIC BROOK INC AUSTIN TX",50.00,"Gasoline"
04/25/2022,04/25/2022,"INTERNET PAYMENT - THANK YOU",-69.95,"Payments and Credits"
04/28/2022,04/28/2022,"INTERNET PAYMENT - THANK YOU",-82.18,"Payments and Credits"
04/28/2022,04/28/2022,"P. TERRYS STAND #3 AUSTIN TX02820R",11.75,"Restaurants"
04/29/2022,04/29/2022,"EXXONMOBIL AUSTIN TX",30.01,"Gasoline"
04/29/2022,04/29/2022,"SP WHISKEY BENT HAT 9035399748 TX",75.29,"Merchandise"
04/30/2022,04/30/2022,"ESCARPMENT EXXON AUSTIN TX",9.19,"Gasoline"
04/30/2022,04/30/2022,"ESCARPMENT EXXON AUSTIN TX",20.56,"Gasoline"
04/30/2022,04/30/2022,"FIREHOUSE SUBS 0362 QSR AUSTIN TX",17.00,"Restaurants"
04/30/2022,04/30/2022,"TST* MEAN EYED CAT AUSTIN TX",12.82,"Restaurants"
05/01/2022,05/01/2022,"MCDONALD'S F8056 BEE CAVE TX",7.76,"Restaurants"
05/03/2022,05/03/2022,"INTERNET PAYMENT - THANK YOU",-176.62,"Payments and Credits"
05/04/2022,05/04/2022,"EXXONMOBIL AUSTIN TX",68.22,"Gasoline"
05/05/2022,05/05/2022,"7-ELEVEN 38267 AUSTIN TX",9.27,"Gasoline"
05/06/2022,05/06/2022,"ESCARPMENT EXXON AUSTIN TX",5.41,"Gasoline"
05/07/2022,05/07/2022,"FIV*RIO MART AUSTIN TX",2.91,"Supermarkets"
05/07/2022,05/07/2022,"INTERNET PAYMENT - THANK YOU",-75.98,"Payments and Credits"
05/07/2022,05/07/2022,"JERSEY MIKES 15010 AUSTIN TX",14.22,"Restaurants"
05/07/2022,05/07/2022,"SHELL57546016106 AUSTIN TX",20.02,"Gasoline"
05/08/2022,05/08/2022,"ICENHAUER'S AUSTIN TX",16.99,"Restaurants"
05/08/2022,05/08/2022,"SQ *BURRO CHEESE KITCH AUSTIN TX0001152921511371987090",8.58,"Restaurants"
05/08/2022,05/08/2022,"TST* CLIVE BAR AUSTIN TX",9.85,"Restaurants"
05/08/2022,05/08/2022,"TST* DONUT TACO PALACE AUSTIN TX00014375006988215260AA",12.34,"Restaurants"
05/09/2022,05/09/2022,"ESCARPMENT EXXON AUSTIN TX",5.41,"Gasoline"
05/09/2022,05/09/2022,"POPEYES 11676 / 308 AUSTIN TX",13.51,"Restaurants"
05/10/2022,05/10/2022,"INTERNET PAYMENT - THANK YOU",-87.25,"Payments and Credits"
05/10/2022,05/10/2022,"JIMMY JOHNS - 2270 AUSTIN TX",12.32,"Restaurants"
05/12/2022,05/12/2022,"CHEVRON 0175485 AUSTIN TX00175485 8518544 I",6.91,"Gasoline"
05/12/2022,05/12/2022,"CHEVRON 0175485 AUSTIN TX00175485 8518541 I",66.68,"Gasoline"
05/13/2022,05/13/2022,"POTBELLY #202 AUSTIN TX01354R",16.65,"Restaurants"
05/13/2022,05/13/2022,"SHELL57546016106 AUSTIN TX",31.91,"Gasoline"
05/14/2022,05/14/2022,"INTERNET PAYMENT - THANK YOU",-117.17,"Payments and Credits"
05/15/2022,05/15/2022,"TST* CLIVE BAR AUSTIN TX00062814007063522913AA",9.11,"Restaurants"
05/16/2022,05/16/2022,"ESCARPMENT EXXON AUSTIN TX",8.00,"Gasoline"
05/16/2022,05/16/2022,"SHOT VET 407-792-0384 FL",32.00,"Services"
05/17/2022,05/17/2022,"CHEWY.COM 800-672-4399 FLAPPLE PAY ENDING IN 1327PMT-5LO1SDBJ7Q",56.78,"Merchandise"
05/17/2022,05/17/2022,"P. TERRYS STAND #3 AUSTIN TX01787R",13.48,"Restaurants"
05/18/2022,05/18/2022,"INTERNET PAYMENT - THANK YOU",-122.45,"Payments and Credits"
05/18/2022,05/20/2022,"WALGREENS #4761 AUSTIN TX",21.94,"Merchandise"
05/19/2022,05/20/2022,"ESCARPMENT EXXON AUSTIN TX",5.41,"Gasoline"
05/20/2022,05/20/2022,"AUTOMATIC STATEMENT CREDIT",-13.78,"Awards and Rebate Credits"
05/20/2022,05/20/2022,"EXXONMOBIL SPICEWOOD TX",72.02,"Gasoline"
05/20/2022,05/20/2022,"INTERNET PAYMENT - THANK YOU",-31.70,"Payments and Credits"
05/22/2022,05/22/2022,"ESCARPMENT EXXON AUSTIN TX",23.79,"Gasoline"
05/22/2022,05/22/2022,"JIMMY JOHNS - 2270 AUSTIN TX",12.73,"Restaurants"
05/23/2022,05/23/2022,"JIMMY JOHNS - 2270 AUSTIN TX",11.97,"Restaurants"
05/23/2022,05/23/2022,"SIGNATURE IH 35 AUSTIN TX",8.63,"Gasoline"
05/24/2022,05/24/2022,"INTERNET PAYMENT - THANK YOU",-135.89,"Payments and Credits"
05/24/2022,05/24/2022,"P. TERRYS STAND #3 AUSTIN TX02401R",10.88,"Restaurants"
05/25/2022,05/25/2022,"JIMMY JOHNS - 2270 AUSTIN TX",12.73,"Restaurants"
05/25/2022,05/25/2022,"P. TERRYS STAND #3 AUSTIN TX02523R",5.74,"Restaurants"
05/26/2022,05/26/2022,"ESCARPMENT EXXON AUSTIN TX",4.63,"Gasoline"
05/26/2022,05/26/2022,"FIREHOUSE SUBS 0362 QSR AUSTIN TX",18.06,"Restaurants"
05/26/2022,05/29/2022,"SHOT VET LAKE MARY FL",-32.00,"Payments and Credits"
05/27/2022,05/27/2022,"ESCARPMENT EXXON AUSTIN TX",3.24,"Gasoline"
05/27/2022,05/27/2022,"JIMMY JOHNS - 2270 AUSTIN TX",8.85,"Restaurants"
05/28/2022,05/28/2022,"SHELL12508189003 LEANDER TX",42.76,"Gasoline"
05/30/2022,05/30/2022,"EZ WAY FOOD STORE AUSTIN TXL11464028",7.57,"Gasoline"
05/30/2022,05/30/2022,"SQ *TEXAS STATE TUBES MARTINDALE TX0001152921511452535435",86.00,"Travel/ Entertainment"
05/30/2022,05/30/2022,"TST* DE NADA CANTINA AUSTIN TX00014809007250424554AA",5.33,"Restaurants"
05/30/2022,05/30/2022,"TST* DE NADA CANTINA AUSTIN TX00014809007250997305AA",25.87,"Restaurants"
05/31/2022,05/31/2022,"ESCARPMENT EXXON AUSTIN TX",29.84,"Gasoline"
05/31/2022,05/31/2022,"FIREHOUSE SUBS 0362 QSR AUSTIN TX",16.00,"Restaurants"
05/31/2022,05/31/2022,"SHELL57546016106 AUSTIN TX",72.75,"Gasoline"
06/02/2022,06/02/2022,"INTERNET PAYMENT - THANK YOU",-250.10,"Payments and Credits"
06/04/2022,06/04/2022,"VETSOURCE 877-738-4443 OR35947868",23.77,"Services"
06/06/2022,06/06/2022,"VCA ANIMAL HOSPITALS 3104427264 CA",51.41,"Services"
06/07/2022,06/07/2022,"EXXONMOBIL AUSTIN TX",78.98,"Gasoline"
06/07/2022,06/07/2022,"JERSEY MIKES 15010 AUSTIN TX",20.07,"Restaurants"
06/08/2022,06/08/2022,"7-ELEVEN 34251 AUSTIN TX",21.64,"Gasoline"
06/09/2022,06/09/2022,"MCDONALD'S F7877 AUSTIN TX",8.62,"Restaurants"
06/09/2022,06/09/2022,"PADDLE.NET* RESTORO 7745236658 NY",30.19,"Merchandise"
06/09/2022,06/09/2022,"ZG * RENTAPPLICATION 206-516-2265 WAP-14607269",29.00,"Services"
06/10/2022,06/10/2022,"HAPPY TAILS PET RESORT CEDAR PARK TX",31.00,"Merchandise"
06/10/2022,06/10/2022,"LEANDER QUICK STOP LEANDER TX",6.47,"Gasoline"
06/11/2022,06/13/2022,"PADDLE.NET* RESTORO 7745236658 NY",-30.19,"Payments and Credits"
06/12/2022,06/12/2022,"INTERNET PAYMENT - THANK YOU",-343.81,"Payments and Credits"
06/14/2022,06/14/2022,"ESCARPMENT EXXON AUSTIN TX",6.15,"Gasoline"
06/15/2022,06/15/2022,"SUSHI JUNAI 1 AUSTIN TX",46.00,"Restaurants"
06/16/2022,06/16/2022,"ESCARPMENT EXXON AUSTIN TX",4.74,"Gasoline"
06/16/2022,06/16/2022,"JERSEY MIKES 15010 AUSTIN TX",17.59,"Restaurants"
06/17/2022,06/17/2022,"CHEWY.COM 800-672-4399 FLAPPLE PAY ENDING IN 1327PMT-B9TVY3XZZX",111.57,"Merchandise"
06/17/2022,06/17/2022,"FIREHOUSE SUBS 0362 QSR AUSTIN TX",17.00,"Restaurants"
06/17/2022,06/17/2022,"HAPPY TAILS PET RESORT CEDAR PARK TX",55.00,"Merchandise"
06/17/2022,06/17/2022,"YSI*10X LIVING AT GRANDV 512-480-9886 TXYSI*10X LIVING AT GRANDV",255.50,"Services"
06/18/2022,06/18/2022,"TEXACO 0304356 CEDAR PARK TX00304356 5630370 M",21.64,"Gasoline"
06/18/2022,06/18/2022,"TEXACO 0304356 CEDAR PARK TX00304356 5630369 R",84.41,"Gasoline"
06/18/2022,06/20/2022,"FIRE BOWL CAFE 512-698-1668 TX01857R",35.92,"Restaurants"
06/19/2022,06/20/2022,"JIMMY JOHNS - 2270 AUSTIN TX",12.43,"Restaurants"
06/20/2022,06/20/2022,"AFFIRM.COM PAYMENTS 8554233729 CA",25.71,"Merchandise"
06/20/2022,06/20/2022,"AUTOMATIC STATEMENT CREDIT",-16.05,"Awards and Rebate Credits"
06/20/2022,06/20/2022,"INTERNET PAYMENT - THANK YOU",-619.45,"Payments and Credits"
06/22/2022,06/22/2022,"P. TERRYS STAND #3 AUSTIN TX02220R",12.39,"Restaurants"
06/23/2022,06/23/2022,"JIMMY JOHNS - 2270 AUSTIN TX",11.23,"Restaurants"
06/24/2022,06/24/2022,"JIMMY JOHNS - 2270 AUSTIN TX",11.55,"Restaurants"
06/25/2022,06/25/2022,"SHELL57546016106 AUSTIN TX",2.48,"Gasoline"
06/25/2022,06/25/2022,"TST* BUTLER PITCH & PU AUSTIN TX00004795007559319161AA",16.68,"Restaurants"
06/26/2022,06/26/2022,"ESCARPMENT EXXON AUSTIN TX",21.64,"Gasoline"
06/26/2022,06/26/2022,"NORDSTROM #0733 AUSTIN TX",144.12,"Department Stores"
06/26/2022,06/26/2022,"SP VUORI CLOTHING 7608886430 CA",176.05,"Merchandise"
06/29/2022,06/29/2022,"P. TERRYS STAND #3 AUSTIN TX02995R",12.45,"Restaurants"
06/30/2022,06/30/2022,"ESCARPMENT EXXON AUSTIN TX",6.15,"Gasoline"
06/30/2022,06/30/2022,"P. TERRYS STAND #3 AUSTIN TX03037R",12.45,"Restaurants"
07/01/2022,07/01/2022,"ESCARPMENT EXXON AUSTIN TX",5.39,"Gasoline"
07/01/2022,07/01/2022,"INTERNET PAYMENT - THANK YOU",-470.20,"Payments and Credits"
07/01/2022,07/01/2022,"JERSEY MIKES 15010 AUSTIN TX",21.59,"Restaurants"
07/02/2022,07/02/2022,"CAVENDERS BOOT #32 AUSTIN TX",70.35,"Merchandise"
07/02/2022,07/02/2022,"CIRCLE K # 04684 AUSTIN TX00282R",3.79,"Gasoline"
07/02/2022,07/02/2022,"ESCARPMENT EXXON AUSTIN TX",3.88,"Gasoline"
07/02/2022,07/02/2022,"POTBELLY #202 AUSTIN TX00204R",26.81,"Restaurants"
07/02/2022,07/02/2022,"TST* DONUT TACO PALACE AUSTIN TX00014375007642736185AA",11.75,"Restaurants"
07/03/2022,07/03/2022,"EINSTEIN BROS BAGELS3487 CEDAR PARK TX",22.55,"Restaurants"
07/03/2022,07/03/2022,"TEXACO 0355588 LEANDER TX00355588 8800162 I",45.22,"Gasoline"
07/04/2022,07/04/2022,"AFFIRM.COM PAYMENTS 8554233729 CA",25.71,"Merchandise"
07/06/2022,07/06/2022,"FIREHOUSE SUBS 0466 QSR CEDAR PARK TX",16.01,"Restaurants"
07/06/2022,07/06/2022,"QT 4156 LIBERTY HILL TX0415602MSW2NQ8H",21.64,"Gasoline"
07/06/2022,07/06/2022,"VETSOURCE 877-738-4443 OR37192105",23.77,"Services"
07/10/2022,07/10/2022,"SHELL12508189003 LEANDER TX",3.24,"Gasoline"
07/10/2022,07/10/2022,"SHELL12508189003 LEANDER TX",40.00,"Gasoline"
07/10/2022,07/20/2022,"UT RECEIVABLES-WEB AUSTIN TX",20.00,"Education"
07/11/2022,07/11/2022,"DOGTOPIA OF SOUTH AUST AUSTIN TX",35.00,"Merchandise"
07/12/2022,07/12/2022,"NI CAFE AUSTIN TX",7.46,"Restaurants"
07/13/2022,07/13/2022,"ESCARPMENT EXXON AUSTIN TX",25.42,"Gasoline"
07/13/2022,07/13/2022,"EXXONMOBIL AUSTIN TX",60.02,"Gasoline"
07/13/2022,07/13/2022,"NI CAFE AUSTIN TX",9.30,"Restaurants"
07/14/2022,07/14/2022,"NI CAFE AUSTIN TX",4.33,"Restaurants"
07/14/2022,07/14/2022,"NI CAFE AUSTIN TX",9.30,"Restaurants"
07/15/2022,07/15/2022,"FIV*RIO MART AUSTIN TX",8.11,"Supermarkets"
07/15/2022,07/15/2022,"NI CAFE AUSTIN TX",4.33,"Restaurants"
07/15/2022,07/15/2022,"NI CAFE AUSTIN TX",7.74,"Restaurants"
07/17/2022,07/17/2022,"INTERNET PAYMENT - THANK YOU",-200.00,"Payments and Credits"
07/17/2022,07/17/2022,"P. TERRYS STAND #3 AUSTIN TX01711R",8.12,"Restaurants"
07/17/2022,07/17/2022,"TST* BUTLER PITCH & PU AUSTIN TX00004795007827107599AA",15.95,"Restaurants"
07/18/2022,07/18/2022,"AFFIRM.COM PAYMENTS 8554233729 CA",25.71,"Merchandise"
07/18/2022,07/18/2022,"ESCARPMENT EXXON AUSTIN TX",3.24,"Gasoline"
07/18/2022,07/18/2022,"TST* REINA AUSTIN TX",7.70,"Restaurants"
07/19/2022,07/20/2022,"VCA ANIMAL HOSPITALS 3104427264 CAAPPLE PAY ENDING IN 1327",72.21,"Services"
07/20/2022,07/20/2022,"AUTOMATIC STATEMENT CREDIT",-14.59,"Awards and Rebate Credits"
07/20/2022,07/20/2022,"CIRCLE K # 04684 AUSTIN TX02078R",3.24,"Gasoline"
07/20/2022,07/20/2022,"CIRCLE K # 04684 AUSTIN TX02097R",50.01,"Gasoline"
07/20/2022,07/20/2022,"NI CAFE AUSTIN TX",9.30,"Restaurants"
07/21/2022,07/21/2022,"ESCARPMENT EXXON AUSTIN TX",3.24,"Gasoline"
07/21/2022,07/21/2022,"NI CAFE AUSTIN TX",10.98,"Restaurants"
07/22/2022,07/22/2022,"ESCARPMENT EXXON AUSTIN TX",25.42,"Gasoline"
07/23/2022,07/23/2022,"ESCARPMENT EXXON AUSTIN TX",3.24,"Gasoline"
07/23/2022,07/23/2022,"JERSEY MIKES 15010 AUSTIN TX",11.84,"Restaurants"
07/23/2022,07/23/2022,"MOCKINGBIRD SALOON AUSTIN TX",27.75,"Restaurants"
07/24/2022,07/24/2022,"ESCARPMENT EXXON AUSTIN TX",5.72,"Gasoline"
07/24/2022,07/24/2022,"P. TERRYS STAND #3 AUSTIN TX02440R",11.75,"Restaurants"
07/26/2022,07/26/2022,"NI CAFE AUSTIN TX",2.00,"Restaurants"
07/26/2022,07/26/2022,"NI CAFE AUSTIN TX",9.89,"Restaurants"
07/27/2022,07/27/2022,"EXXONMOBIL AUSTIN TX",63.45,"Gasoline"
07/27/2022,07/27/2022,"NI CAFE AUSTIN TX",9.30,"Restaurants"
07/28/2022,07/28/2022,"NI CAFE AUSTIN TX",11.52,"Restaurants"
07/29/2022,07/29/2022,"ESCARPMENT EXXON AUSTIN TX",25.42,"Gasoline"
07/30/2022,07/30/2022,"EXXONMOBIL BEE CAVES TX",9.50,"Gasoline"
07/30/2022,07/30/2022,"GLF*FALCONHEADGOLFCLUB AUSTIN TX",63.87,"Travel/ Entertainment"
07/31/2022,07/31/2022,"ESCARPMENT EXXON AUSTIN TX",3.24,"Gasoline"
07/31/2022,07/31/2022,"ESCARPMENT EXXON AUSTIN TX",10.03,"Gasoline"
08/01/2022,08/01/2022,"AFFIRM.COM PAYMENTS 8554233729 CA",25.71,"Merchandise"
08/01/2022,08/01/2022,"ESCARPMENT EXXON AUSTIN TX",3.24,"Gasoline"
08/02/2022,08/02/2022,"7-ELEVEN 36621 AUSTIN TX",3.19,"Gasoline"
08/02/2022,08/02/2022,"CHEWY.COM 800-672-4399 FLAPPLE PAY ENDING IN 1327PMT-BHX5M8TSTS",106.00,"Merchandise"
08/02/2022,08/02/2022,"INTERNET PAYMENT - THANK YOU",-832.81,"Payments and Credits"
08/02/2022,08/02/2022,"NI CAFE AUSTIN TX",6.75,"Restaurants"
08/03/2022,08/03/2022,"7-ELEVEN 36621 AUSTIN TX",5.13,"Gasoline"
08/03/2022,08/03/2022,"INTERNET PAYMENT - THANK YOU",-134.95,"Payments and Credits"
08/03/2022,08/03/2022,"NI CAFE AUSTIN TX",9.89,"Restaurants"
08/04/2022,08/04/2022,"ESCARPMENT EXXON AUSTIN TX",5.39,"Gasoline"
08/04/2022,08/04/2022,"ESCARPMENT EXXON AUSTIN TX",22.18,"Gasoline"
08/04/2022,08/04/2022,"P. TERRYS STAND #3 AUSTIN TX00462R",11.10,"Restaurants"
08/04/2022,08/04/2022,"VETSOURCE 877-738-4443 OR38299875",25.02,"Services"
08/05/2022,08/05/2022,"EPREMIUM INSURANCE AGE MASON OH",105.00,"Services"
08/05/2022,08/05/2022,"MSI RENTERS 844-788-0873 TX",231.00,"Services"
08/07/2022,08/07/2022,"SHELL12508189003 LEANDER TX",22.18,"Gasoline"
08/07/2022,08/07/2022,"SHELL12508189003 LEANDER TX",63.61,"Gasoline"
08/08/2022,08/08/2022,"ESCARPMENT EXXON AUSTIN TX",3.24,"Gasoline"
08/08/2022,08/08/2022,"RAISING CANE'S #115 CEDAR PARK TX",15.90,"Restaurants"
08/08/2022,08/08/2022,"TST* DONUT TACO PALACE AUSTIN TX00014375008100109600AA",14.41,"Restaurants"
08/09/2022,08/09/2022,"NI CAFE AUSTIN TX",9.30,"Restaurants"
08/11/2022,08/11/2022,"NI CAFE AUSTIN TX",7.46,"Restaurants"
08/12/2022,08/12/2022,"ESCARPMENT EXXON AUSTIN TX",13.92,"Gasoline"
08/13/2022,08/13/2022,"INTERNET PAYMENT - THANK YOU",-580.75,"Payments and Credits"
08/14/2022,08/14/2022,"ESCARPMENT EXXON AUSTIN TX",8.63,"Gasoline"
08/14/2022,08/14/2022,"ESCARPMENT EXXON AUSTIN TX",22.18,"Gasoline"
08/14/2022,08/14/2022,"P. TERRYS STAND #3 AUSTIN TX01411R",11.04,"Restaurants"
08/14/2022,08/14/2022,"RIVERSIDE GOLF COURSE AUSTIN TX",58.46,"Travel/ Entertainment"
08/14/2022,08/14/2022,"TST* RIVERSIDE GOLF COUR AUSTIN TX",13.02,"Restaurants"
08/15/2022,08/15/2022,"002 TORCHYS CF ARBOR TRA AUSTIN TXAPPLE PAY ENDING IN 1327",15.07,"Restaurants"
08/16/2022,08/16/2022,"AMERICAN SOLUTIONS4 BUS 800-714-7288 MN",95.38,"Merchandise"
