Date,Description,Amount
02/26/2022,99 CENT DELICIOUS PINew York            NY,3.37
02/26/2022,CVS/PHARMACY #10613 NEW YORK            NY,14.16
02/26/2022,HAIR OF THE DOG     NEW YORK            NY,13.00
02/26/2022,LASHIN FOOD         NEW YORK            NY,11.00
02/26/2022,ONE WORLD OBSY CAF  NEW YORK            NY,7.08
02/26/2022,ONE WORLD OBSY KIOSKNEW YORK            NY,52.26
02/25/2022,BARRELMORE 739290001NEW YORK            NY,25.03
02/25/2022,STARBUCKS STORE 1902NEW YORK            NY,11.78
02/25/2022,TST* PROVA PIZZABAR NEW YORK            NY,13.33
02/24/2022,7BARCLAYS CTRB 0000 BROOKLYN            NY,15.24
02/24/2022,AUS 3185C BARTON SPRAustin              TX,12.08
02/24/2022,AplPay TST* VIA313 -AUSTIN              TX,25.01
02/24/2022,KRISPY KREME #1937  NEW YORK            NY,4.38
02/24/2022,METROCARD MACHINE   NEW YORK            NY,34.00
02/24/2022,METROCARD MACHINE   NEW YORK            NY,34.00
02/24/2022,SPIRIT AIRLINES DIRECT SALES,79.00
02/23/2022,ESCARPMENT EXXON 094AUSTIN              TX,12.28
02/21/2022,JACK IN THE BOX     AUSTIN              TX,10.58
02/20/2022,6511 BRUSH COUNTRY RAUSTIN              TX,9.04
02/20/2022,BUFORDS             AUSTIN              TX,13.62
02/20/2022,MOBILE PAYMENT - THANK YOU,-230.28
02/19/2022,ARAB COWBOY CAFE HOOAustin              TX,25.31
02/19/2022,CHEBA HUT - AUSTIN 0AUSTIN              TX,14.51
02/19/2022,THE LOCAL PUB AND PAAUSTIN              TX,18.26
02/18/2022,6412 W HIGHWAY 290 5AUSTIN              TX,11.05
02/18/2022,THUNDERCLOUD        Bee Cave            TX,8.27
02/18/2022,TOTAL WINE AND MORE AUSTIN              TX,24.89
02/17/2022,H-E-B #404 000000000AUSTIN              TX,91.86
02/15/2022,AplPay TYLERCHILDERSCHATTANOOGA         TN,36.13
02/14/2022,MOBILE PAYMENT - THANK YOU,-153.81
02/13/2022,MOBILE PAYMENT - THANK YOU,-17.85
02/12/2022,BUNGALOW 0000       AUSTIN              TX,13.00
02/12/2022,EXXONMOBIL 4804     BEE CAVES           TX,3.23
02/12/2022,EXXONMOBIL 4804     BEE CAVES           TX,42.14
02/12/2022,H-E-B               AUSTIN              TX,95.44
02/11/2022,EXXONMOBIL 9987     AUSTIN              TX,9.03
02/10/2022,MOBILE PAYMENT - THANK YOU,-162.22
02/09/2022,ARAB COWBOY CAFE HOOAustin              TX,25.31
02/08/2022,MOBILE PAYMENT - THANK YOU,-143.16
02/08/2022,P. Terry's Burger StAustin              TX,8.82
02/07/2022,CIRCLE K #2741307 00AUSTIN              TX,8.84
02/07/2022,CIRCLE K #2741307 00AUSTIN              TX,50.81
02/07/2022,FIRESTONE285927     AUSTIN              TX,77.26
02/06/2022,ESCARPMENT EXXON 094AUSTIN              TX,3.24
02/06/2022,H-E-B #765 000000000AUSTIN              TX,87.49
02/06/2022,JIMMY JOHNS - 2270 0AUSTIN              TX,8.22
02/05/2022,CHEBA HUT - AUSTIN 0AUSTIN              TX,14.51
02/05/2022,ESCARPMENT EXXON 094AUSTIN              TX,3.24
02/05/2022,JIMMY JOHNS # 365 00AUSTIN              TX,11.14
